"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"2045","UHRF1","ZFP28","","URI1","","ZNF773","","","","","","","","","","","","","","","","","","","","","",""
"2046","UHRF1BP1","ZFP64","","USF1","","ZNF777","","","","","","","","","","","","","","","","","","","","","",""
"2047","ULBP1","ZFPL1","","USP14","","ZNF783","","","","","","","","","","","","","","","","","","","","","",""
"2048","UNC5B","ZFYVE9","","USP22","","ZNF84","","","","","","","","","","","","","","","","","","","","","",""
"2049","UNC5C","ZMIZ2","","USP3","","ZNF853","","","","","","","","","","","","","","","","","","","","","",""
"2050","UPP1","ZMYM3","","USP36","","ZNF865","","","","","","","","","","","","","","","","","","","","","",""
"2051","UQCR10","ZMYND8","","USP46","","ZP3","","","","","","","","","","","","","","","","","","","","","",""
"2052","UQCRB","ZNF12","","USP48","","ZRANB1","","","","","","","","","","","","","","","","","","","","","",""
"2053","UQCRFS1","ZNF133","","USP5","","ZSCAN18","","","","","","","","","","","","","","","","","","","","","",""
"2054","URI1","ZNF140","","UTP3","","ZSCAN29","","","","","","","","","","","","","","","","","","","","","",""
"2055","USF1","ZNF146","","UTRN","","ZSCAN5A","","","","","","","","","","","","","","","","","","","","","",""
"2056","USP14","ZNF213","","UVRAG","","ZSWIM6","","","","","","","","","","","","","","","","","","","","","",""
"2057","USP22","ZNF259","","VANGL1","","ZSWIM7","","","","","","","","","","","","","","","","","","","","","",""
"2058","USP3","ZNF26","","VAV3","","ZWINT","","","","","","","","","","","","","","","","","","","","","",""
"2059","USP36","ZNF28","","VBP1","","ZXDB","","","","","","","","","","","","","","","","","","","","","",""
"2060","USP46","ZNF280C","","VCAN","","ZXDC","","","","","","","","","","","","","","","","","","","","","",""
"2061","USP48","ZNF295","","VCP","","ZZZ3","","","","","","","","","","","","","","","","","","","","","",""
"2062","USP5","ZNF319","","VDAC3","","","","","","","","","","","","","","","","","","","","","","","",""
"2063","UTP3","ZNF354A","","VHL","","","","","","","","","","","","","","","","","","","","","","","",""
"2064","UTRN","ZNF358","","VIT","","","","","","","","","","","","","","","","","","","","","","","",""
"2065","UVRAG","ZNF383","","VLDLR","","","","","","","","","","","","","","","","","","","","","","","",""
"2066","VANGL1","ZNF408","","VOPP1","","","","","","","","","","","","","","","","","","","","","","","",""
"2067","VAV3","ZNF410","","VPS18","","","","","","","","","","","","","","","","","","","","","","","",""
"2068","VBP1","ZNF419","","VPS37A","","","","","","","","","","","","","","","","","","","","","","","",""
"2069","VCAN","ZNF426","","VPS37C","","","","","","","","","","","","","","","","","","","","","","","",""
"2070","VCP","ZNF434","","VPS72","","","","","","","","","","","","","","","","","","","","","","","",""
"2071","VDAC3","ZNF473","","VRK1","","","","","","","","","","","","","","","","","","","","","","","",""
"2072","VEGFA","ZNF496","","VTA1","","","","","","","","","","","","","","","","","","","","","","","",""
"2073","VHL","ZNF524","","WAC","","","","","","","","","","","","","","","","","","","","","","","",""
"2074","VIT","ZNF528","","WARS","","","","","","","","","","","","","","","","","","","","","","","",""
"2075","VLDLR","ZNF532","","WASF2","","","","","","","","","","","","","","","","","","","","","","","",""
"2076","VOPP1","ZNF543","","WASH1","","","","","","","","","","","","","","","","","","","","","","","",""
"2077","VPS18","ZNF579","","WBP11","","","","","","","","","","","","","","","","","","","","","","","",""
"2078","VPS37A","ZNF585B","","WBP5","","","","","","","","","","","","","","","","","","","","","","","",""
"2079","VPS37C","ZNF598","","WDFY2","","","","","","","","","","","","","","","","","","","","","","","",""
"2080","VPS72","ZNF618","","WDR33","","","","","","","","","","","","","","","","","","","","","","","",""
"2081","VRK1","ZNF621","","WDR41","","","","","","","","","","","","","","","","","","","","","","","",""
"2082","VTA1","ZNF623","","WDR45","","","","","","","","","","","","","","","","","","","","","","","",""
"2083","WAC","ZNF641","","WDR45L","","","","","","","","","","","","","","","","","","","","","","","",""
"2084","WARS","ZNF674","","WDR6","","","","","","","","","","","","","","","","","","","","","","","",""
"2085","WASF2","ZNF696","","WFS1","","","","","","","","","","","","","","","","","","","","","","","",""
"2086","WASH1","ZNF704","","WIPI1","","","","","","","","","","","","","","","","","","","","","","","",""
"2087","WBP11","ZNF710","","WNT6","","","","","","","","","","","","","","","","","","","","","","","",""
"2088","WBP5","ZNF740","","WRAP53","","","","","","","","","","","","","","","","","","","","","","","",""
"2089","WDFY2","ZNF768","","WSB1","","","","","","","","","","","","","","","","","","","","","","","",""
"2090","WDR33","ZNF770","","WSCD2","","","","","","","","","","","","","","","","","","","","","","","",""
"2091","WDR41","ZNF773","","WT1","","","","","","","","","","","","","","","","","","","","","","","",""
"2092","WDR45","ZNF777","","XBP1","","","","","","","","","","","","","","","","","","","","","","","",""
"2093","WDR45L","ZNF783","","XKR8","","","","","","","","","","","","","","","","","","","","","","","",""
"2094","WDR6","ZNF84","","XPO1","","","","","","","","","","","","","","","","","","","","","","","",""
"2095","WFS1","ZNF853","","XPO5","","","","","","","","","","","","","","","","","","","","","","","",""
"2096","WIPI1","ZNF865","","XPOT","","","","","","","","","","","","","","","","","","","","","","","",""
"2097","WNT6","ZP3","","XRCC5","","","","","","","","","","","","","","","","","","","","","","","",""
"2098","WRAP53","ZRANB1","","XRCC6","","","","","","","","","","","","","","","","","","","","","","","",""
"2099","WSB1","ZSCAN18","","XRCC6BP1","","","","","","","","","","","","","","","","","","","","","","","",""
"2100","WSCD2","ZSCAN29","","XRN2","","","","","","","","","","","","","","","","","","","","","","","",""
"2101","WT1","ZSCAN5A","","XXYLT1","","","","","","","","","","","","","","","","","","","","","","","",""
"2102","XBP1","ZSWIM6","","YARS","","","","","","","","","","","","","","","","","","","","","","","",""
"2103","XKR8","ZSWIM7","","YDJC","","","","","","","","","","","","","","","","","","","","","","","",""
"2104","XPO1","ZWINT","","YIPF5","","","","","","","","","","","","","","","","","","","","","","","",""
"2105","XPO5","ZXDB","","YLPM1","","","","","","","","","","","","","","","","","","","","","","","",""
"2106","XPOT","ZXDC","","YRDC","","","","","","","","","","","","","","","","","","","","","","","",""
"2107","XRCC5","ZZZ3","","YWHAE","","","","","","","","","","","","","","","","","","","","","","","",""
"2108","XRCC6","","","YWHAH","","","","","","","","","","","","","","","","","","","","","","","",""
"2109","XRCC6BP1","","","ZBED2","","","","","","","","","","","","","","","","","","","","","","","",""
"2110","XRN2","","","ZBED3","","","","","","","","","","","","","","","","","","","","","","","",""
"2111","XXYLT1","","","ZBTB7B","","","","","","","","","","","","","","","","","","","","","","","",""
"2112","YARS","","","ZC3H13","","","","","","","","","","","","","","","","","","","","","","","",""
"2113","YDJC","","","ZCCHC11","","","","","","","","","","","","","","","","","","","","","","","",""
"2114","YIPF5","","","ZCCHC17","","","","","","","","","","","","","","","","","","","","","","","",""
"2115","YLPM1","","","ZCCHC2","","","","","","","","","","","","","","","","","","","","","","","",""
"2116","YRDC","","","ZCCHC7","","","","","","","","","","","","","","","","","","","","","","","",""
"2117","YWHAE","","","ZDBF2","","","","","","","","","","","","","","","","","","","","","","","",""
"2118","YWHAH","","","ZDHHC20","","","","","","","","","","","","","","","","","","","","","","","",""
"2119","ZBED2","","","ZDHHC3","","","","","","","","","","","","","","","","","","","","","","","",""
"2120","ZBED3","","","ZDHHC9","","","","","","","","","","","","","","","","","","","","","","","",""
"2121","ZBTB7B","","","ZFAND1","","","","","","","","","","","","","","","","","","","","","","","",""
"2122","ZC3H13","","","ZFAND2A","","","","","","","","","","","","","","","","","","","","","","","",""
"2123","ZCCHC11","","","ZFAND2B","","","","","","","","","","","","","","","","","","","","","","","",""
"2124","ZCCHC17","","","ZFAND3","","","","","","","","","","","","","","","","","","","","","","","",""
"2125","ZCCHC2","","","ZFC3H1","","","","","","","","","","","","","","","","","","","","","","","",""
"2126","ZCCHC7","","","ZFHX4","","","","","","","","","","","","","","","","","","","","","","","",""
"2127","ZDBF2","","","ZFP28","","","","","","","","","","","","","","","","","","","","","","","",""
"2128","ZDHHC20","","","ZFP36L1","","","","","","","","","","","","","","","","","","","","","","","",""
"2129","ZDHHC3","","","ZFP64","","","","","","","","","","","","","","","","","","","","","","","",""
"2130","ZDHHC9","","","ZFPL1","","","","","","","","","","","","","","","","","","","","","","","",""
"2131","ZFAND1","","","ZFYVE9","","","","","","","","","","","","","","","","","","","","","","","",""
"2132","ZFAND2A","","","ZMIZ2","","","","","","","","","","","","","","","","","","","","","","","",""
"2133","ZFAND2B","","","ZMYM3","","","","","","","","","","","","","","","","","","","","","","","",""
"2134","ZFAND3","","","ZMYND8","","","","","","","","","","","","","","","","","","","","","","","",""
"2135","ZFC3H1","","","ZNF12","","","","","","","","","","","","","","","","","","","","","","","",""
"2136","ZFHX4","","","ZNF133","","","","","","","","","","","","","","","","","","","","","","","",""
"2137","ZFP28","","","ZNF140","","","","","","","","","","","","","","","","","","","","","","","",""
"2138","ZFP36L1","","","ZNF146","","","","","","","","","","","","","","","","","","","","","","","",""
"2139","ZFP64","","","ZNF207","","","","","","","","","","","","","","","","","","","","","","","",""
"2140","ZFPL1","","","ZNF213","","","","","","","","","","","","","","","","","","","","","","","",""
"2141","ZFYVE9","","","ZNF259","","","","","","","","","","","","","","","","","","","","","","","",""
"2142","ZMIZ2","","","ZNF26","","","","","","","","","","","","","","","","","","","","","","","",""
"2143","ZMYM3","","","ZNF28","","","","","","","","","","","","","","","","","","","","","","","",""
"2144","ZMYND8","","","ZNF280C","","","","","","","","","","","","","","","","","","","","","","","",""
"2145","ZNF12","","","ZNF295","","","","","","","","","","","","","","","","","","","","","","","",""
"2146","ZNF133","","","ZNF319","","","","","","","","","","","","","","","","","","","","","","","",""
"2147","ZNF140","","","ZNF354A","","","","","","","","","","","","","","","","","","","","","","","",""
"2148","ZNF146","","","ZNF358","","","","","","","","","","","","","","","","","","","","","","","",""
"2149","ZNF207","","","ZNF383","","","","","","","","","","","","","","","","","","","","","","","",""
"2150","ZNF213","","","ZNF408","","","","","","","","","","","","","","","","","","","","","","","",""
"2151","ZNF259","","","ZNF410","","","","","","","","","","","","","","","","","","","","","","","",""
"2152","ZNF26","","","ZNF419","","","","","","","","","","","","","","","","","","","","","","","",""
"2153","ZNF28","","","ZNF426","","","","","","","","","","","","","","","","","","","","","","","",""
"2154","ZNF280C","","","ZNF434","","","","","","","","","","","","","","","","","","","","","","","",""
"2155","ZNF295","","","ZNF473","","","","","","","","","","","","","","","","","","","","","","","",""
"2156","ZNF319","","","ZNF496","","","","","","","","","","","","","","","","","","","","","","","",""
"2157","ZNF354A","","","ZNF524","","","","","","","","","","","","","","","","","","","","","","","",""
"2158","ZNF358","","","ZNF528","","","","","","","","","","","","","","","","","","","","","","","",""
"2159","ZNF383","","","ZNF532","","","","","","","","","","","","","","","","","","","","","","","",""
"2160","ZNF408","","","ZNF543","","","","","","","","","","","","","","","","","","","","","","","",""
"2161","ZNF410","","","ZNF579","","","","","","","","","","","","","","","","","","","","","","","",""
"2162","ZNF419","","","ZNF585B","","","","","","","","","","","","","","","","","","","","","","","",""
"2163","ZNF426","","","ZNF598","","","","","","","","","","","","","","","","","","","","","","","",""
"2164","ZNF434","","","ZNF618","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","ZNF473","","","ZNF621","","","","","","","","","","","","","","","","","","","","","","","",""
"2166","ZNF496","","","ZNF623","","","","","","","","","","","","","","","","","","","","","","","",""
"2167","ZNF524","","","ZNF641","","","","","","","","","","","","","","","","","","","","","","","",""
"2168","ZNF528","","","ZNF674","","","","","","","","","","","","","","","","","","","","","","","",""
"2169","ZNF532","","","ZNF696","","","","","","","","","","","","","","","","","","","","","","","",""
"2170","ZNF543","","","ZNF704","","","","","","","","","","","","","","","","","","","","","","","",""
"2171","ZNF579","","","ZNF710","","","","","","","","","","","","","","","","","","","","","","","",""
"2172","ZNF585B","","","ZNF740","","","","","","","","","","","","","","","","","","","","","","","",""
"2173","ZNF598","","","ZNF768","","","","","","","","","","","","","","","","","","","","","","","",""
"2174","ZNF618","","","ZNF770","","","","","","","","","","","","","","","","","","","","","","","",""
"2175","ZNF621","","","ZNF773","","","","","","","","","","","","","","","","","","","","","","","",""
"2176","ZNF623","","","ZNF777","","","","","","","","","","","","","","","","","","","","","","","",""
"2177","ZNF641","","","ZNF783","","","","","","","","","","","","","","","","","","","","","","","",""
"2178","ZNF674","","","ZNF84","","","","","","","","","","","","","","","","","","","","","","","",""
"2179","ZNF696","","","ZNF853","","","","","","","","","","","","","","","","","","","","","","","",""
"2180","ZNF704","","","ZNF865","","","","","","","","","","","","","","","","","","","","","","","",""
"2181","ZNF710","","","ZP3","","","","","","","","","","","","","","","","","","","","","","","",""
"2182","ZNF740","","","ZRANB1","","","","","","","","","","","","","","","","","","","","","","","",""
"2183","ZNF768","","","ZSCAN18","","","","","","","","","","","","","","","","","","","","","","","",""
"2184","ZNF770","","","ZSCAN29","","","","","","","","","","","","","","","","","","","","","","","",""
"2185","ZNF773","","","ZSCAN5A","","","","","","","","","","","","","","","","","","","","","","","",""
"2186","ZNF777","","","ZSWIM6","","","","","","","","","","","","","","","","","","","","","","","",""
"2187","ZNF783","","","ZSWIM7","","","","","","","","","","","","","","","","","","","","","","","",""
"2188","ZNF84","","","ZWINT","","","","","","","","","","","","","","","","","","","","","","","",""
"2189","ZNF853","","","ZXDB","","","","","","","","","","","","","","","","","","","","","","","",""
"2190","ZNF865","","","ZXDC","","","","","","","","","","","","","","","","","","","","","","","",""
"2191","ZP3","","","ZZZ3","","","","","","","","","","","","","","","","","","","","","","","",""
"2192","ZRANB1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2193","ZSCAN18","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2194","ZSCAN29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2195","ZSCAN5A","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2196","ZSWIM6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2197","ZSWIM7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2198","ZWINT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2199","ZXDB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
